Ticker,returnOnAssets,grossMargins,operatingMargins,revenueGrowth,earningsGrowth,currentRatio,marketCap,Label
LPGI,0.0309,0.15158,0.025009999,0.251,-0.066,1.04,2264999919616.0,Tidak Memenuhi
POLA,-0.05263,0.96127,0.63651,,,736.963,113936572416.0,Tidak Memenuhi
BCIC,0.00071000005,0.0,0.15516,0.091,-0.411,,2680268259328.0,Tidak Memenuhi
BMAS,-0.01222,0.0,0.01933,0.017,0.349,,12309811429376.0,Tidak Memenuhi
SDRA,0.00455,0.0,-0.23076001,-0.127,,,4172581961728.0,Tidak Memenuhi
FUJI,0.04142,0.95443,0.62422,0.301,-0.902,311.98,949000011776.0,Tidak Memenuhi
BBSI,0.018550001,0.0,0.44612,0.223,0.025,,14662145933312.0,Tidak Memenuhi
VINS,0.02359,0.49616,0.05388,0.015,0.501,3.416,213243740160.0,Tidak Memenuhi
AMAG,0.02848,0.60928,-0.16749,,2.506,0.994,1861859016704.0,Tidak Memenuhi
VRNA,-0.00405,0.97268,0.70633006,0.099,,168.935,489112436736.0,Tidak Memenuhi
ASMI,0.00563,0.39861,-0.06684,-0.35,,1.558,232917876736.0,Tidak Memenuhi
CASA,0.02238,0.36238998,0.18271999,-0.052,,1.194,59651517317120.0,Tidak Memenuhi
ASDM,0.00322,0.71126,0.091850005,0.252,0.254,1.138,220799991808.0,Tidak Memenuhi
AMOR,0.124180004,0.3796,0.31078,-0.239,-0.387,3.931,927854166016.0,Tidak Memenuhi
APIC,0.01446,0.026530001,-0.27784002,0.078,,2.376,13237102837760.0,Tidak Memenuhi
HDFA,-0.015470001,1.0,0.04133,0.036,,30.292,1020621488128.0,Tidak Memenuhi
RELI,0.01852,0.4966,-0.29305,-0.351,-0.475,3.596,1115999961088.0,Tidak Memenuhi
YOII,0.00147,0.53704,0.06508,0.841,-0.103,1.785,349318152192.0,Tidak Memenuhi
STAR,-0.0033399998,1.0,-0.022909999,0.668,,131.957,340800045056.0,Tidak Memenuhi
NICK,0.26104,0.80791,0.30023,,,49.011,833472036864.0,Tidak Memenuhi
MREI,0.0051200003,0.06038,0.04047,0.046,-0.535,0.445,528147513344.0,Tidak Memenuhi
TRUS,0.04123,0.97056997,0.33061,-0.135,-0.38,5.422,340800012288.0,Tidak Memenuhi
BHAT,0.01011,0.22373,0.18275999,-0.607,-0.916,16.074,4824999919616.0,Tidak Memenuhi
ASRM,0.00426,0.21279,-0.02073,1.283,,119.285,411391754240.0,Tidak Memenuhi
ASJT,0.01642,0.53328997,-1.17091,,,14.971,179200000000.0,Tidak Memenuhi
TIFA,0.03078,0.97941,0.51113,-0.129,-0.35,3.496,1456407314432.0,Tidak Memenuhi
BBLD,0.0074,0.97062,0.00141,-0.105,-0.276,2.809,1472987529216.0,Tidak Memenuhi
ASBI,-0.01589,0.50776,-0.053460002,-0.153,,4.812,174193229824.0,Tidak Memenuhi
BPFI,0.040549997,0.99034,0.26262,-0.021,-0.188,2.09,871722450944.0,Tidak Memenuhi
BBMD,0.02089,0.0,0.52774,-0.084,-0.245,,8420870586368.0,Tidak Memenuhi
MASB,0.00703,0.0,0.2852,0.09,-0.13,,4612615569408.0,Tidak Memenuhi
BPII,0.03644,0.65223,0.20676,0.087,0.069,1.121,5436284076032.0,Tidak Memenuhi
DEFI,-0.09599,0.32739,-0.87022,-0.024,,8.016,115596001280.0,Tidak Memenuhi
YULE,0.099259995,0.97983,0.77949,0.265,0.078,6.382,4285674291200.0,Tidak Memenuhi
POOL,,,,,,,117068505088.0,Tidak Memenuhi
SFAN,-0.1035,0.82636,-0.82932,0.133,,4.707,2611073515520.0,Tidak Memenuhi
ABDA,0.02246,0.46237,0.13452,0.549,0.147,4.23,1682386059264.0,Tidak Memenuhi
BSWD,0.01102,0.0,0.47801,-0.152,-0.259,,3688866775040.0,Tidak Memenuhi
OCAP,,,,,,,43438800896.0,Tidak Memenuhi
PLAS,,,,,,,59209998336.0,Tidak Memenuhi
ANTM,,0.19403,0.13533,-0.35,0.964,1.25,74495368888320.0,Tidak Memenuhi
SMGR,0.01191,0.19910999,0.03244,-0.01,,1.084,18634250387456.0,Tidak Memenuhi
BRPT,0.01021,0.09087,-0.02175,3.541,19.398,2.938,323280342876160.0,Tidak Memenuhi
INTP,0.05298,0.33074,0.08997,0.004,0.474,1.533,21972515815424.0,Tidak Memenuhi
BRMS,0.04408,0.54492,0.31158,0.329,1.348,1.249,130441319284736.0,Tidak Memenuhi
EMAS,,0.22296,-11.3739,-0.931,,0.267,60251290206208.0,Tidak Memenuhi
MDKA,0.016619999,0.09681,0.100609995,-0.362,,1.037,59572844756992.0,Tidak Memenuhi
INCO,0.01075,0.107200004,0.12658,0.212,0.896,2.729,50063975907328.0,Tidak Memenuhi
TINS,0.069359995,0.25172,0.10342,-0.327,-0.55,2.041,19885501448192.0,Tidak Memenuhi
TPIA,-0.0152199995,-0.01666,-0.06604,4.839,,3.367,601202140119040.0,Tidak Memenuhi
INKP,0.0313,0.29975998,0.19877,-0.021,-0.841,2.73,40758824402944.0,Tidak Memenuhi
MBMA,0.012150001,0.06465,0.09241,-0.452,-0.481,1.874,68037118001152.0,Tidak Memenuhi
PSAB,0.048410002,0.54493,0.38116002,0.093,0.051,0.533,15214500118528.0,Tidak Memenuhi
AMMN,0.02011,0.51055,0.4019,-0.809,,1.936,514879303712768.0,Tidak Memenuhi
TKIM,0.00903,0.14003,0.07667,-0.02,,1.317,21714735988736.0,Tidak Memenuhi
ESSA,0.053979997,0.30266002,0.18195,-0.2,-0.502,8.807,10594589605888.0,Tidak Memenuhi
ARCI,0.11432,0.4143,0.47015998,0.879,,0.533,29677825556480.0,Tidak Memenuhi
NCKL,0.09263,0.33124,0.32557,0.029,0.356,1.538,78807969038336.0,Tidak Memenuhi
KRAS,-0.00625,0.09192,-0.06307,0.152,,0.268,6461696507904.0,Tidak Memenuhi
DKFT,0.13539,0.4795,0.30895,-0.434,-0.043,2.954,4107546918912.0,Tidak Memenuhi
WSBP,-0.056799997,0.12669,-0.14769,-0.016,,0.449,1318444728320.0,Tidak Memenuhi
NICL,0.48779,0.42808,0.41094002,0.696,1.687,4.536,10529288486912.0,Tidak Memenuhi
SMBR,0.046230003,0.31034002,0.12433,0.201,,1.443,2800974823424.0,Tidak Memenuhi
WTON,0.01426,0.07485,-0.00567,-0.372,-0.766,1.276,897693057024.0,Tidak Memenuhi
SOLA,0.103310004,0.28592,0.22532,0.856,1.744,1.637,436838498304.0,Tidak Memenuhi
AGII,0.02794,0.41355,0.11501,0.021,-0.799,3.338,4047991209984.0,Tidak Memenuhi
AVIA,0.101689994,0.51431,0.18399,0.088,-0.059,6.3,24680849211392.0,Tidak Memenuhi
NIKL,0.025209999,0.06639,0.044650003,-0.267,-0.689,1.604,903359299584.0,Tidak Memenuhi
MINE,,0.23312001,0.11996,0.126,-0.642,1.185,2025879896064.0,Tidak Memenuhi
ISSP,0.06235,0.1916,0.12573,0.021,0.052,3.033,3018032939008.0,Memenuhi
